stand_type,easting,northing,long,lat,stand_numbers,geom,stand_location
Sheffield Stand,315488.388,234533.264,-6.2665366821936335,53.348649847897164,3,"53.348649847897164, -6.2665366821936335","Jervis Shopping Centre, 125, Mary Street, North City ED, Dublin, County Dublin, Leinster, D01 HW54, Éire / Ireland"
Sheffield Stand,315602.772,232959.23,-6.265393979488411,53.33448868624484,2,"53.33448868624484, -6.265393979488411","Upper Camden Street, Grantham Street, Camden Street Lower, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 HH92, Éire / Ireland"
Sheffield Stand,314946.122,233954.973,-6.274885180136551,53.34357426021315,5,"53.34357426021315, -6.274885180136551","Rare Oul'Times, Bridge Street Upper, Merchants Quay A ED, Dublin, County Dublin, Leinster, D08 CX34, Éire / Ireland"
Sheffield Stand,315726.722,233474.681,-6.263346137295734,53.339090825033345,10,"53.339090825033345, -6.263346137295734","Royal College of Surgeons in Ireland, St. Stephen's Green, Royal Exchange B ED, Dublin, County Dublin, Leinster, D02 VH98, Éire / Ireland"
Sheffield Stand,315383.587,234680.029,-6.268056161165933,53.34999077354203,3,"53.34999077354203, -6.268056161165933","Parnell Street, Rotunda B ED, Dublin, Dublin 1, Leinster, D01 K5N8, Éire / Ireland"
Sheffield Stand,315945.429,235024.657,-6.259497271243927,53.35296308687358,8,"53.35296308687358, -6.259497271243927","An Bord Pleanála, Marlborough Street, Rotunda A ED, Dublin, County Dublin, Leinster, D01 KR53, Éire / Ireland"
Sheffield Stand,315461.782,234719.989,-6.266867955755786,53.35033260324489,5,"53.35033260324489, -6.266867955755786","Dublin City Brewing Company, Parnell Street, Rotunda B ED, Dublin, County Dublin, Leinster, D01 Y9T3, Éire / Ireland"
Sheffield Stand,316133.939,235189.694,-6.256607200730067,53.35440393606143,3,"53.35440393606143, -6.256607200730067","Belmont Apartments, Gardiner Street Middle, Mountjoy Square, Mountjoy B ED, Dublin, County Dublin, Leinster, D01 PK61, Éire / Ireland"
Sheffield Stand,315871.369,233594.199,-6.261131981006729,53.34013257713044,8,"53.34013257713044, -6.261131981006729","54, King Street South, Royal Exchange B ED, Dublin, County Dublin, Leinster, D02 NY74, Éire / Ireland"
Sheffield Stand,315411.587,234678.658,-6.2676364036166134,53.34997235832608,6,"53.34997235832608, -6.2676364036166134","Cineworld Cinema Dublin, Parnell Street, Rotunda B ED, Dublin, County Dublin, Leinster, D01 K5N8, Éire / Ireland"
Sheffield Stand,316582.83,233701.635,-6.250416574572426,53.34094132176434,4,"53.34094132176434, -6.250416574572426","The Giant's Garden, Merrion Square North, Mansion House A ED, Dublin, County Dublin, Leinster, D02 WD37, Éire / Ireland"
Sheffield Stand,317033.547,233475.893,-6.2437365359387975,53.338814584589144,4,"53.338814584589144, -6.2437365359387975","Ballaugh House, 73-79, Mount Street Lower, South Dock ED, Dublin, County Dublin, Leinster, D02 HD59, Éire / Ireland"
